"Organism","Core or NonCore","Mean of Sample Mean","Standard Deviation","Mean of Sample Mean First","Std Dev First","Mean of Sample Mean Second","Std Dev Second","Mean of Sample Mean Third","Std Dev Third"
"Human","Core","2.4089631826785833","0.12791646017623293","2.980274486454806","0.2615187419369648","1.4096091697540951","0.1544842456021912","2.8361646550274964","0.2604168866478964"
"Human","NonCore","3.627196287313267","0.10381301645227818","3.763929038307088","0.134865592145986","3.124611734877305","0.13444566146718637","3.9938721078966046","0.14670940108444905"
"Cow","Core","2.0311765010888343","0.19613445452127215","2.656225967395838","0.4212890920583742","1.1813746481145613","0.20802672114305865","2.2556010012466015","0.37402165893742"
"Cow","NonCore","3.5126915626853377","0.23334113797496572","3.3849012457026153","0.29516325539036165","2.8840604780871004","0.30158012113282107","4.272134956464952","0.2997526892693324"
"Mouse","Core","2.3418461922416127","0.13517406259995793","2.9435380106432443","0.27539138826832443","1.3528108582758702","0.14605497231300751","2.7281759363973968","0.2812093486548263"
"Mouse","NonCore","3.6629823416459075","0.11288920110585601","3.7535056385064647","0.14702902099769213","3.1896610237165763","0.14944629281526348","4.04667985709621","0.15920034300806624"
"Zebrafish","Core","2.116015780168734","0.29552419317631784","2.561135370525873","0.6181857539226996","1.285972052891786","0.30818835864891814","2.5056630123888737","0.5770487917201885"
"Zebrafish","NonCore","4.060452194738193","0.4403180004381507","3.6654067369496377","0.48115422135864866","3.627498248714926","0.5773601028979873","4.892077828416474","0.4782478018399032"
"Fly","Core","2.0628255279220093","0.26312723003621735","2.9209131522002867","0.6836172912822839","0.8309733998972383","0.21606165744590905","2.4379606362067667","0.5661902009027454"
"Fly","NonCore","3.3382120510661637","0.3457691782814696","3.5518682155196126","0.4209699006525837","2.5169464888965667","0.430159050118836","3.944774516179125","0.49546522592031894"
"Worm","Core","2.1511680213511806","0.2558626529577675","2.651073139979872","0.7511695002566157","1.589906115001204","0.21974662320880384","2.206234909529966","0.4302527260597261"
"Worm","NonCore","3.4914924938594147","0.6011931998484695","3.189228901719483","0.6258709722660302","3.5431515711881656","0.7640733632874457","3.7467717230341244","0.8044686670256825"
"Yeast","Core","2.339328399486522","0.15013068138782423","2.7901513849496578","0.29031385062421466","1.5998103084617563","0.1873871526132366","2.6290118208367392","0.29676455921442174"
"Yeast","NonCore","3.4517668751190285","0.1495788510909641","3.8698426773757637","0.2066267148587742","2.5765773568042216","0.17328858490029292","3.9097510964691287","0.19540713694389023"
"Frog","Core","1.2946677068954575","0.27735439243760407","1.8018387879644684","0.7051772641414736","0.832155889267113","0.3182626961926589","1.2480249962071472","0.2730497065272349"
"Frog","NonCore","4.144978015587547","0.49303654228704447","3.933251158816731","0.614274489754558","3.8559103562422528","0.6654122450064953","4.64421559400238","0.724775611271555"
