"Entry","Gene","Organism"
"Q12983","BNIP3","Human"
"P36639","NUDT1","Human"
"Q9Y237","PIN4","Human"
"Q96LW4","PRIMPOL","Human"
"P32189","GK","Human"
"Q14409","GK3P","Human"
"Q99933","BAG1","Human"
"Q16678","CYP1B1","Human"
"Q9UKL3","CASP8AP2","Human"
"Q5T890","ERCC6L2","Human"
"Q9NRI5","DISC1","Human"
"Q28I85","poc1a","Frog"
"B1H3H9","ptdss1","Frog"
"A4II98","tmem41b","Frog"
"Q28HC6","qtrt1","Frog"
"H0WFA5","buc","Zebrafish"
"Q7SYK1","qtrt1","Zebrafish"
"Q1L990","nan","Zebrafish"
"A0A2R8Q3S9","clcc1","Zebrafish"
"Q90257","es1","Zebrafish"
"F1R237","tdrd6","Zebrafish"
"Q80UU1","Ankzf1","Mouse"
"Q8C8R3","Ank2","Mouse"
"O35658","C1qbp","Mouse"
"Q9R1M5","Nlrp5","Mouse"
"Q8K3A0","Hscb","Mouse"
"Q924D0","Rtn4ip1","Mouse"
"Q9WVS6","Prkn","Mouse"
"Q61831","Mapk10","Mouse"
"Q9JIX9","Fastk","Mouse"
"Q9JI19","Fibp","Mouse"
"Q9ESN2","Trim39","Mouse"
"Q2KIA5","DNM1L","Cow"
"Q32KN2","BNIP3","Cow"
"Q08DM5","nan","Cow"
"Q0IIK5","DDX1","Cow"
"P32007","SLC25A6","Cow"
"P07857","SCP2","Cow"
"Q2T9S7","FBXO7","Cow"
"Q9XTA3","MYOC","Cow"
"A5PK27","RNF144B","Cow"
"Q9GLE5","MMP2","Cow"
"Q5E9M9","RHOT2","Cow"
"Q2HJF8","RHOT1","Cow"
"P17697","CLU","Cow"
"Q2TBQ9","KLC3","Cow"
"A6QQ70","MAP1S","Cow"
"Q58D31","SORD","Cow"
"A3KMX0","ERCC6L2","Cow"
"Q9TRY0","FKBP4","Cow"
"Q8HXK9","PYCARD","Cow"
"A8E4L1","COX19","Cow"
"Q2KHY9","PTDSS1","Cow"
"A7E3S4","RAF1","Cow"
"A1A4L1","THEM4","Cow"
"Q4JF29","TICAM1","Cow"
"O02810","PI4KB","Cow"
"Q5E9Y2","STX17","Cow"
"P23196","APEX1","Cow"
